Scrub_Title,Scrub_URL,End_Date,Number_Prizes,Scrub_Description,Entry_Limit,Eligibility,Scrub_URL_1,Rules_URL,Page_Title,Entry_Link,Meta_Description,Meta_Keywords,Extracted_Date,Entry_Image,Tags,short_summary,long_description,image_alt,end_date_norm,extracted_date_norm,end_date_epoch,extracted_date_epoch,llm_processed,exported,last_seen_run_id,llm_version,llm_hash
"12 Nights of Rest Mattress Giveaway! NEW MATTRESS WINNER, DAILY!",https://thefreebieguy.com/sweepstakes/12-nights-of-rest-mattress-giveaway-new-mattress-winner-daily/,46015,12,"Want more? See our lists of Sweepstakes & Instant Win Games


            12 winners will get a new mattress!

            PRIZES -

 	December 13: Helix Midnight Luxe
 	December 14: Brooklyn Bedding Aurora Luxe
 	December 15: Bear Elite Hybrid
 	December 16: Leesa Sapira Chill
 	December 17: Nolah Evolution
 	December 18: Birch Natural
 	December 19: Nectar Classic Memory Foam
 	December 20: DreamCloud Classic Hybrid
 	December 21: Siena 10” Signature Memory Foam
 	December 22: Awara Natural Luxury Hybrid
 	December 23: The WinkBed
 	December 24: TBD



ENTRY – Daily Entry
ENDING – December 24, 2025 11:59 pm

ELIGIBILITY – USA Only (No AK or HI.) 18+
ENTER HERE






<br />
     (adsbygoogle = window.adsbygoogle || []).push({<br />
  		overlays:{bottom:true}<br />
  });<br />


Disclosure: There may be some affiliate links on this site and I may receive commissions for purchases made through
links in this post, but these are all products I recommend.",Daily Entry,USA Only (No AK or HI.) 18+,https://sleepopolis.com/giveaways/12-nights-of-rest/,https://sleepopolis.com/giveaways/12-nights-of-rest/,12 Nights of Rest Giveaway | Sleepopolis,https://sleepopolis.com/giveaways/12-nights-of-rest/,"For 12 Nights of Rest, we're giving away a different mattress every day from December 14th to January 5th!",,46006,https://sleepopolis.com/wp-content/uploads/2025/12/2-576x1024.png,,,,,12/23/2025,12/14/2025,1766534400000,1765756800000,,,20251217-115719,,
The Roku Winning Wonderland Sweepstakes 2025!! 161 WINNERS!!,https://thefreebieguy.com/sweepstakes/the-roku-winning-wonderland-sweepstakes-2025-161-winners/,46010,161,"Want more? See our lists of Sweepstakes & Instant Win Games


            161 winners get ROKU prizes!!

            PRIZES -

 	(25) Custom Roku Ultra Player and $25 Roku Promotional Credit
 	(10) Roku 43"" Select Series Smart TV
 	(100) Roku Streaming Stick + $5 Roku Promotional Credit
 	(25) Custom Roku Ultra Player + $25 Roku Promotional Credit
 	(1) Roku 75” Pro Series 4K QLED Smart TV



ENTRY – Daily Entry
ENDING – December 19, 2025 11:59 pm
OFFICIAL RULES – Click Here

ELIGIBILITY – USA Only. 18+
ENTER HERE






<br />
     (adsbygoogle = window.adsbygoogle || []).push({<br />
  		overlays:{bottom:true}<br />
  });<br />


Disclosure: There may be some affiliate links on this site and I may receive commissions for purchases made through
links in this post, but these are all products I recommend.",Daily Entry,USA Only. 18+,https://rokuwinningwonderland.com/,https://rokuwinningwonderland.com/rules.pdf,Roku Winning Wonderland,https://rokuwinningwonderland.com/,Roku Winning Wonderland,,46006,https://rokuwinningwonderland.com/img/Thumbnail.png,,,,,12/18/2025,12/14/2025,1766102400000,1765756800000,,,20251217-115719,,
The RNR Tire Express 25th Anniversary Giveaway! 25 WINNERS!,https://thefreebieguy.com/sweepstakes/the-rnr-tire-express-25th-anniversary-giveaway-25-winners/,46022,25,"Want more? See our lists of Sweepstakes & Instant Win Games


            25 winners get prizes from cash, to gear and more!

            PRIZES -

 	(25) Winners will get their share of $25,000 in prizes! From brand-new tires and wheels to cash prizes, gear, and exclusive giveaways.

 


ENTRY – One Time Entry
ENDING – December 31, 2025 11:59 pm
OFFICIAL RULES – Click Here

ELIGIBILITY – USA Only. 18+
ENTER HERE






<br />
     (adsbygoogle = window.adsbygoogle || []).push({<br />
  		overlays:{bottom:true}<br />
  });<br />


Disclosure: There may be some affiliate links on this site and I may receive commissions for purchases made through
links in this post, but these are all products I recommend.",One Time Entry,USA Only. 18+,https://rnrtires.com/marketing/giveaway/,https://rnrtires.com/marketing/officialrules/,25th Anniversary Giveaway 2025 - RNR Tire Express,https://rnrtires.com/marketing/giveaway/,"Celebrate 25 years with RNR Tire Express! Enter our giveaway for a chance to win part of $25,000 in prizes. 25 winners!",,46006,https://s3.amazonaws.com/rnrtires.com/wp-content/uploads/2022/03/05181516/RNR25052-25th-Anniversary-Giveaway-1500x730-1.jpg,,,,,12/30/2025,12/14/2025,1767139200000,1765756800000,,,20251217-115719,,
"2025 Tito’s Holiday Spin-The-Wheel Sweepstakes and Instant Win Game! 1,477 WINNERS!",https://thefreebieguy.com/sweepstakes/2025-titos-holiday-spin-the-wheel-sweepstakes-and-instant-win-game-1477-winners/,46022,1477,"Want more? See our lists of Sweepstakes & Instant Win Games


            1,477 Instantly win a prize from Tito's!

            PRIZES -

 	(252) Tito’s Holiday Ornament
 	(1,000) Tito’s Human Ugly Sweater, OR One Tito’s Dog Ugly Sweater
 	(75) Tito’s Holiday Dog Blanket
 	(75) Tito’s Ugly Beanie
 	(75) Tito’s Ugly Stocking



ENTRY – One Time Entry
ENDING – December 31, 2025 11:59 pm

ELIGIBILITY – USA & D.C. Only (no ME or VA.) 21+
ENTER HERE






<br />
     (adsbygoogle = window.adsbygoogle || []).push({<br />
  		overlays:{bottom:true}<br />
  });<br />


Disclosure: There may be some affiliate links on this site and I may receive commissions for purchases made through
links in this post, but these are all products I recommend.",One Time Entry,USA & D.C. Only (no ME or VA.) 21+,https://www.titosvodka.com/holiday,https://www.titosvodka.com/holiday,Tito's Holiday - Tito’s Handmade Vodka,https://www.titosvodka.com/holiday,"Distilled and bottled in Austin, Texas since the mid-nineties, Tito’s comes in a standard bottle, with a simple paper label, so all you pay for is the…","tito's vodka, vodka",46006,https://titos-next.transforms.svdcdn.com/production/images/SEO/seo-card.jpg?w=1200&h=630&q=82&auto=format&fit=min&crop=focalpoint&fp-x=0.7012&fp-y=0.4921&dm=1745952611&s=efb9726ba6c3980526fe5f623a3b45ad,,,,,12/30/2025,12/14/2025,1767139200000,1765756800000,,,20251217-115719,,
"The No Bake Fun Sweepstakes! 3,050 TOTAL PRIZES!!",https://thefreebieguy.com/sweepstakes/the-no-bake-fun-sweepstakes-3050-total-prizes/,46022,3050,"Want more? See our lists of Sweepstakes & Instant Win Games


            3,050 WINNERS TOTAL!

            NOTE: You can enter this sweepstakes by making a purchase OR you can see the Official Rules for details on mailing in to enter. Also, you can gain up to 5 entries PER DAY, but no more than 25 entries total.
PRIZES -

 	(50) Grand Prize Sweepstakes Prizes are available. Each Grand Prize consists of one KitchenAid Artisan Series 5 Quart Tilt-Head Stand Mixer, stainless steel mixing bowls (set of 3), one apron (adult size), one oven mitt, spatula (set of 3), one serving tray, cookie cutters (set of 3) (ARV $542.95 each).
 	(450) Stainless Steel Mixing Bowls (set of 3)
 	(450) Apron (adult size)
 	(600) Oven Mitt
 	(450) Spatula (set of 3)
 	(450) Serving Tray
 	(600) Cookie Cutters (set of 3)



ENTRY – Other
ENDING – December 31, 2025 11:59 pm
OFFICIAL RULES – Click Here

ELIGIBILITY – USA & D.C. Only. 18+
ENTER HERE






<br />
     (adsbygoogle = window.adsbygoogle || []).push({<br />
  		overlays:{bottom:true}<br />
  });<br />


Disclosure: There may be some affiliate links on this site and I may receive commissions for purchases made through
links in this post, but these are all products I recommend.",Other,USA & D.C. Only. 18+,https://www.wknobakefun.com/,https://snippdocs.blob.core.windows.net/docs/WKKC_No_Bake_Fun_Sweepstakes_2025/No%20Bake%20Fun%20Sweepstakes%20-%20Full%20Rules%20v6%20FINAL%206.23.25.pdf,Kellogg’s® Cereal No-Bake Fun Spectacular,https://www.wknobakefun.com/Home,"Enter for a chance to win 20 days of branded prizes—from aprons to mixing bowls and more. Plus, 50 lucky people will win the KitchenAid® Stand Mixer Grand Prize!",,46006,https://snippcheck.blob.core.windows.net/files/wkkc_2008243_nobakefun/kellogs-meta.jpg,,,,,12/30/2025,12/14/2025,1767139200000,1765756800000,,,20251217-115719,,
Crutchfield Great Gear Giveaway,https://thefreebieguy.com/sweepstakes/crutchfield-great-gear-giveaway/,46022,1,"Want more? See our lists of Sweepstakes & Instant Win Games


            WIN A $350 GIFT CARD!

            PRIZES -

 	(1) Grand Prize - $350 Crutchfield Gift Card



ENTRY – One Time Entry
ENDING – December 31, 2025 11:59 pm

ELIGIBILITY – USA (Void in PR) Only. 18+
ENTER HERE






<br />
     (adsbygoogle = window.adsbygoogle || []).push({<br />
  		overlays:{bottom:true}<br />
  });<br />


Disclosure: There may be some affiliate links on this site and I may receive commissions for purchases made through
links in this post, but these are all products I recommend.",One Time Entry,USA (Void in PR) Only. 18+,http://go.magik.ly/r/thefreebie/22ca37/,https://go.magik.ly/r/thefreebie/22ca37/,Crutchfield,https://go.magik.ly/r/thefreebie/22ca37/,,,46006,,,,,,12/30/2025,12/14/2025,1767139200000,1765756800000,,,20251217-115719,,
C-A-L Ranch $250 in Carhartt Giveaway,https://thefreebieguy.com/sweepstakes/cal-ranch-giveaway/,46022,1,"Want more? See our lists of Sweepstakes & Instant Win Games


            ENTER BY 12/31

            NOTE: Scroll down to enter the correct giveaway.
PRIZES -

 	(1) Grand Prize -  A Milwaukee M18 Bluetooth Jobsite Radio



ENTRY – One Time Entry
ENDING – December 31, 2025 11:59 pm

ELIGIBILITY – USA Only. 18+
ENTER HERE






<br />
     (adsbygoogle = window.adsbygoogle || []).push({<br />
  		overlays:{bottom:true}<br />
  });<br />


Disclosure: There may be some affiliate links on this site and I may receive commissions for purchases made through
links in this post, but these are all products I recommend.",One Time Entry,USA Only. 18+,https://www.calranch.com/contests,https://www.calranch.com/contests,Monthly Contest | C-A-L Ranch,https://www.calranch.com/contests,,,46006,https://www.calranch.com/globalassets/cal/oms-emails/cal-logo.png,,,,,12/30/2025,12/14/2025,1767139200000,1765756800000,,,20251217-115719,,
"Trip Cash Giveaway Brought to you by Tripadvisor – 1,500 WINNERS!!",https://thefreebieguy.com/sweepstakes/trip-cash-giveaway-brought-to-you-by-tripadvisor-1500-winners/,46026,1500,"Want more? See our lists of Sweepstakes & Instant Win Games


            1,500 winners will get Trip Cash!

            NOTE: To enter this one you will need to sign in to the TripAdvisor app. Scroll down on the Explore section until you see the sweepstakes to enter!
PRIZES -

 	(1) Grand Prize: $10,000 Trip Cash
 	(10) Second Prizes: $1,000 Trip Cash each
 	(18) Third Prizes: $200 Trip Cash each
 	(57) Fourth Prizes: $100 Trip Cash each
 	(1,414) Fifth Prizes: $50 Trip Cash each



ENTRY – One Time Entry
ENDING – January 4, 2026 11:59 pm

ELIGIBILITY – USA & D.C. Only. 18+ (19+ in AL & NE.) Must Have a TripAdvisor Account.
ENTER HERE






<br />
     (adsbygoogle = window.adsbygoogle || []).push({<br />
  		overlays:{bottom:true}<br />
  });<br />


Disclosure: There may be some affiliate links on this site and I may receive commissions for purchases made through
links in this post, but these are all products I recommend.",One Time Entry,USA & D.C. Only. 18+ (19+ in AL & NE.) Must Have a TripAdvisor Account.,https://www.tripadvisor.com/TripCashGiveaway,https://www.tripadvisor.com/TripCashGiveaway,Tripadvisor,https://www.tripadvisor.com/TripCashGiveaway,,,46006,,,,,,01/03/2026,12/14/2025,1767484800000,1765756800000,,,20251217-115719,,
Mike’s Hard Lemonade Fantasy Life Sweepstakes,https://thefreebieguy.com/sweepstakes/mikes-hard-lemonade-fantasy-life-sweepstakes/,46121,423,"Want more? See our lists of Sweepstakes & Instant Win Games


            423 WINNERS! WIN TICKETS TO THE BIG GAME & MORE!

            NOTE: The Sweepstakes is comprised of thirty-four (34) weeks, with each week beginning on a Friday at 12:00:00 a.m. Eastern Time and ending on the immediately following Thursday at 11:59:59 p.m. Eastern Time (except for the first week of the Sweepstakes Period which begins at 12:00:01 a.m.
Eastern Time).
PRIZES -

 	(60) WEEK 1 PRIZES (8/15 - 8/21): 1 year subscription to Fantasy Life+ Tier 2 fantasy sports database. ARV: $100 each.
 	(60) WEEK 2 PRIZES (8/22 - 8/28): 1 year subscription to Fantasy Life+ Tier 2 fantasy sports database. ARV: $100 each.
 	(5) WEEK 3 PRIZES (8/29 - 9/4): One-time use code redeemable for New Era® gear. ARV: $60 each.
 	(5) WEEK 4 PRIZES (9/5 - 9/11): Homage® T-shirt gift card. ARV: $50 each.
 	(5) WEEK 5 PRIZES (9/12 - 9/18): Knockaround® Sunglasses gift card. ARV: $60 each.
 	(5) WEEK 6 PRIZES (9/19 - 9/25): Mike’s Branded Football Jersey. ARV: $60 each.
 	(2) WEEK 7 PRIZES (9/26 - 10/2): 65” Television. ARV: $550 each.
 	(5) WEEK 8 PRIZES (10/3 - 10/9): Knockaround® Sunglasses gift card. ARV: $60 each.
 	(60) WEEK 9 PRIZES (10/10 - 10/16): 1 year subscription to Fantasy Life+ Tier 2 fantasy sports database. ARV: $100 each.
 	(5) WEEK 10 PRIZES (10/17 - 10/23): One-time use code redeemable for New Era® gear. ARV: $60 each.
 	(5) WEEK 11 PRIZES (10/24 - 10/30): Mike’s Branded Football Jersey. ARV: $60 each.
 	(2) WEEK 12 PRIZES (10/31 - 11/6): Soundbar. ARV: $250 each.
 	(5) WEEK 13 PRIZES (11/7 - 11/13): Knockaround® Sunglasses gift card. ARV: $60 each.
 	(60) WEEK 14 PRIZES (11/14 - 11/20): 1 year subscription to Fantasy Life+ Tier 2 fantasy sports database. ARV: $100 each.
 	(5) WEEK 15 PRIZES (11/21 - 11/27): One-time use code redeemable for New Era® gear. ARV: $60 each.
 	(5) WEEK 16 PRIZES (11/28 - 12/4): Mike’s Branded Football Jersey. ARV: $60 each.
 	(2) WEEK 17 PRIZES (12/5 - 12/11): 65” Television. ARV: $550 each.
 	(2) WEEK 18 PRIZES (12/12 - 12/18): Soundbar. ARV: $250 each.
 	(1) WEEK 19 PRIZES (12/19 - 12/25): Trip to Professional Football Championship Game. ARV: $20,000 each.
 	(2) WEEK 20 PRIZES (12/26 - 1/1/26): 65"" Television. ARV: $550 each.
 	(2) WEEK 21 PRIZES (1/2 - 1/8): Soundbar. ARV: $250 each.
 	(5) WEEK 22 PRIZES (1/9 - 1/15): One-time use code redeemable for New Era® gear. ARV: $60 each.
 	(5) WEEK 23 PRIZES (1/16 - 1/22): Mike’s Branded Football Jersey. ARV: $60 each.
 	(5) WEEK 24 PRIZES (1/23 - 1/29): Knockaround® Sunglasses gift card. ARV: $60 each.
 	(5) WEEK 25 PRIZES (1/30 - 2/5): Homage® T-shirt gift card. ARV: $50 each.
 	(60) WEEK 26 PRIZES (2/6 - 2/12): 1 year subscription to Fantasy Life+ Tier 2 fantasy sports database. ARV: $100 each.
 	(5) WEEK 27 PRIZES (2/13 - 2/19): One-time use code redeemable for New Era® gear. ARV: $60 each.
 	(5) WEEK 28 PRIZES (2/20 - 2/26): Mike’s Branded Football Jersey. ARV: $60 each.
 	(5) WEEK 29 PRIZES (2/27 - 3/5): Knockaround® Sunglasses gift card. ARV: $60 each.
 	(5) WEEK 30 PRIZES (3/6 - 3/12): Homage® T-shirt gift card. ARV: $50 each.
 	(5) WEEK 31 PRIZES (3/13 - 3/19): One-time use code redeemable for New Era® gear. ARV: $60 each.
 	(5) WEEK 32 PRIZES (3/20 - 3/26): Mike’s Branded Football Jersey. ARV: $60 each.
 	(5) WEEK 33 PRIZES (3/27 - 4/2): Knockaround® Sunglasses gift card. ARV: $60 each.
 	(5) WEEK 34 PRIZES (4/3 - 4/9): Homage® T-shirt gift card. ARV: $50 each.



ENTRY – Daily Entry
ENDING – April 9, 2026 11:59 pm
OFFICIAL RULES – Click Here

ELIGIBILITY – U.S. & D.C. Only. 21+
ENTER HERE






<br />
     (adsbygoogle = window.adsbygoogle || []).push({<br />
  		overlays:{bottom:true}<br />
  });<br />


Disclosure: There may be some affiliate links on this site and I may receive commissions for purchases made through
links in this post, but these are all products I recommend.",Daily Entry,U.S. & D.C. Only. 21+,https://www.mikeshard.com/sweepstakes/fantasylife,https://www.mikeshard.com/sweepstakes/fantasylife-rules,Mike’s Hard Lemonade | Fantasy Life Microsite – Coming soon Page,https://www.mikeshard.com/sweepstakes/fantasylife/,ENTER FOR A CHANCE TO SCORE TICKETS TO THE BIG GAME & OTHER WEEKLY PRIZES - Coming Soon Page,,46006,,,,,,04/08/2026,12/14/2025,1775692800000,1765756800000,,,20251217-115719,,
The Nabisco Holiday 2025 Instant Win Game! 64 WILL WIN!,https://thefreebieguy.com/sweepstakes/the-nabisco-holiday-2025-instant-win-game-64-will-win/,46010,64,"Want more? See our lists of Sweepstakes & Instant Win Games


            64 winners get commissary or exchange gift cards!

            PRIZES -

 	(49) $25 Commissary or Exchange Gift Card
 	(10) $50 Commissary or Exchange Gift Card
 	(5) $100 Commissary or Exchange Gift Card



ENTRY – Daily Entry
ENDING – December 19, 2025 11:59 pm
OFFICIAL RULES – Click Here

ELIGIBILITY – USA & D.C. Only. 18+. active-duty US military personnel or veterans, or family of active-duty US military members or veterans; authorized Commissary and/or Exchange patrons
ENTER HERE






<br />
     (adsbygoogle = window.adsbygoogle || []).push({<br />
  		overlays:{bottom:true}<br />
  });<br />


Disclosure: There may be some affiliate links on this site and I may receive commissions for purchases made through
links in this post, but these are all products I recommend.",Daily Entry,"USA & D.C. Only. 18+. active-duty US military personnel or veterans, or family of active-duty US military members or veterans; authorized Commissary and/or Exchange patrons",https://nabiscoholiday.th12ty.com/,https://nabiscoholiday.th12ty.com/rules.pdf,NABISCO® Holiday 2025 Instant Win Game,https://nabiscoholiday.th12ty.com/,NABISCO® Holiday 2025 Instant Win Game,,46006,https://nabiscoholiday.th12ty.com/img/Thumbnail.png,,,,,12/18/2025,12/14/2025,1766102400000,1765756800000,,,20251217-115719,,
